Model,Tier,Params,Attack,Defense,N,Clean Accuracy (%),ASR (%),Avg Latency (ms),Std Latency (ms),Peak GPU (MB),Model Size (MB)
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,No Attack (Clean),No Defense (Baseline),20,60.0,—,4020.9,204.2,845.3,746.8
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,Direct Prompt Injection,No Defense (Baseline),20,—,90.0,3590.5,491.5,849.4,746.8
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,Direct Prompt Injection,Self-Reminder,20,—,0.0,4173.4,115.4,857.2,746.8
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,Direct Prompt Injection,Spotlighting,20,—,0.0,3610.9,758.6,851.5,746.8
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,Indirect Prompt Injection,No Defense (Baseline),20,—,15.0,7681.9,628.1,851.0,746.8
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,Indirect Prompt Injection,Self-Reminder,20,—,0.0,8055.8,329.2,859.3,746.8
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,Indirect Prompt Injection,Spotlighting,20,—,0.0,6328.8,2129.0,851.5,746.8
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,Jailbreak (DAN-style),No Defense (Baseline),20,—,95.0,5153.8,1910.1,849.6,746.8
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,Jailbreak (DAN-style),Self-Reminder,20,—,0.0,7629.4,1452.1,857.5,746.8
tinyllama-1.1b-q4,Tier 1 (Raspberry Pi class),1.1B,Jailbreak (DAN-style),Spotlighting,20,—,0.0,7231.7,1500.8,851.5,746.8
